gene,pvalue
TTN,1.0
TP53,1.0
LRP1B,1.0
ARID1A,0.99999976
UBR4,0.99999964
MUC16,0.9999995
CSMD1,0.9999988
FAT1,0.9999949
IRS4,0.9999937
CUL4A,0.9999924
CREBBP,0.999992
CBLB,0.9999895
PRDM2,0.999985
HTT,0.99998236
MYO9A,0.99997914
KRAS,0.9999776
MYCBP2,0.9999753
NCOA3,0.99997354
PHF20,0.9999734
HR,0.9999733
KAT6A,0.9999726
STAT6,0.9999714
RBBP6,0.99996996
ANK2,0.99996996
CDH18,0.9999691
ATP12A,0.9999691
HECW1,0.9999684
OBSCN,0.9999671
HMCN1,0.9999671
SMG5,0.9999652
PLCG2,0.999964
KMT2C,0.9999634
MCF2,0.9999628
PRKCD,0.9999614
MSX1,0.99996066
TNFAIP3,0.99995923
KMT2A,0.9999567
PRDM1,0.9999534
RABGAP1,0.99995315
TLR2,0.99995255
USP3,0.9999521
ATRX,0.9999509
ASPM,0.9999502
HIPK1,0.9999474
OR10H3,0.9999455
FGFR4,0.9999449
FAS,0.9999441
TWIST2,0.999944
ZBTB17,0.999943
KAT2B,0.99994016
DGKZ,0.99993896
MAPK8IP3,0.99993896
ENAH,0.9999379
UHRF2,0.99993706
PLCE1,0.99993694
DDX3X,0.9999361
HERC2,0.9999354
TRIM24,0.9999354
PLK2,0.999933
RB1CC1,0.9999293
MYC,0.99992895
MET,0.9999275
FBP2,0.9999255
SOCS1,0.9999244
NTHL1,0.99992216
PRKD1,0.9999219
FOXA2,0.9999174
IQGAP1,0.99991727
TFAP2B,0.99991703
MYH10,0.9999168
BCR,0.99991655
KDM6A,0.99991536
CUL7,0.99991536
TAF1B,0.999915
PLK3,0.99991405
SUPT6H,0.99991405
AR,0.9999132
AIFM2,0.9999131
TFAP4,0.99991035
ITPKC,0.99991035
GABRB1,0.9999057
ACACA,0.99990463
MSL2,0.99990463
TSC22D1,0.9999021
PATZ1,0.9999012
MCL1,0.9999002
THRB,0.9998994
CUL9,0.99989915
ATM,0.9998964
STAT1,0.9998963
EHMT1,0.99989545
STEAP3,0.99989545
WT1,0.9998946
USP9X,0.99989235
STK11,0.99989235
SMAD7,0.99989164
JMJD6,0.9998909
MPDZ,0.99988854
TNK2,0.99988794
REV1,0.99988794
APC,0.9998858
ATR,0.9998851
MAEA,0.999881
PBRM1,0.9998789
PELI1,0.9998784
DACH1,0.99987805
PRRC2A,0.9998779
PER2,0.9998766
PPID,0.9998759
REL,0.9998729
SETD1A,0.99987257
HDAC8,0.99987185
DOCK7,0.99986947
FOXC1,0.9998654
ABCE1,0.99986255
FOXK2,0.99986124
