gene,pvalue
TTN,1.0
TP53,1.0
LRP1B,1.0
UBR4,0.99999964
MUC16,0.9999995
PIK3CA,0.99999917
CSMD1,0.9999988
FBXO11,0.99999666
SETD2,0.9999957
CYP17A1,0.9999945
CREBBP,0.999992
FANCC,0.9999918
NCOR1,0.99999154
CBLB,0.9999895
PRDM2,0.999985
SNAI2,0.99997985
MYO9A,0.99997914
TBC1D4,0.9999782
ZNF668,0.99997807
KRAS,0.9999776
MYCBP2,0.9999753
TEP1,0.9999738
NCOA3,0.99997354
KAT6A,0.9999726
RBBP6,0.99996996
ANK2,0.99996996
LAMA4,0.9999696
ATP12A,0.9999691
IRF5,0.9999685
HECW1,0.9999684
OBSCN,0.9999671
HMCN1,0.9999671
SMG7,0.99996686
GYS2,0.9999665
NCKAP1L,0.99996614
KMT2C,0.9999634
MCF2,0.9999628
ZFYVE16,0.9999628
TNR,0.9999621
APAF1,0.9999597
CREBZF,0.99995947
MEN1,0.9999589
KMT2A,0.9999567
TP53BP1,0.99995494
SMARCAL1,0.9999547
MAML1,0.9999542
RABGAP1,0.99995315
KLF6,0.9999517
ATRX,0.9999509
ASPM,0.9999502
ZMIZ1,0.9999496
ZMIZ2,0.9999474
HIPK1,0.9999474
TTLL5,0.9999466
LRPAP1,0.99994636
CDKN2A,0.9999461
CDKN2C,0.999946
TLR8,0.99994576
OTUD5,0.9999453
AXIN1,0.99994445
NOTCH4,0.999943
ALK,0.999943
IGF1R,0.9999424
TWIST1,0.9999422
EEA1,0.9999409
DPH1,0.99994063
KIT,0.99993944
MAP3K1,0.9999386
NGFR,0.99993837
HUWE1,0.99993837
PLCE1,0.99993694
BRCC3,0.9999368
SMG1,0.9999367
TRIM24,0.9999354
PLK2,0.999933
BACH1,0.99993277
ARL3,0.99993074
RB1CC1,0.9999293
CETP,0.9999287
GFI1,0.99992776
MET,0.9999275
ZNF679,0.9999263
TOPBP1,0.999926
RB1,0.9999242
TRAIP,0.99992335
USP28,0.9999229
