,gene,transcript,protein_change,score,pvalue,qvalue,info
0,BRAF,ENST00000288602,.,.,16,0,.
1,IDH1,ENST00000415913,.,.,16,0,.
2,CTNNB1,ENST00000349496,.,.,16,7.49E-220,.
3,NRAS,ENST00000369535,.,.,16,2.83E-193,.
4,EGFR,ENST00000275493,.,.,16,3.24E-38,.
5,TP53,ENST00000269305,.,.,16,2.35E-30,.
6,HRAS,ENST00000451590,.,.,16,2.42E-29,.
7,KIT,ENST00000288135,.,.,16,1.64E-20,.
8,MKI67,ENST00000368654,.,.,16,8.70E-19,.
9,TTN,ENST00000589042,.,.,16,7.82E-18,.
10,EEF1A1,ENST00000316292,.,.,16,1.01E-16,.
11,TP53BP1,ENST00000382044,.,.,16,5.52E-15,.
12,AHR,ENST00000242057,.,.,15.42371726,2.95E-13,.
13,AMPD2,ENST00000256578,.,.,14.00846482,7.12E-12,.
14,HUWE1,ENST00000342160,.,.,13.52736381,2.01E-11,.
15,AHNAK,ENST00000378024,.,.,12.85308098,8.91E-11,.
16,CLIP1,ENST00000540338,.,.,12.25301712,3.34E-10,.
17,NAV1,ENST00000367296,.,.,12.01589444,5.44E-10,.
18,CIC,ENST00000575354,.,.,11.07938871,4.45E-09,.
19,TACC2,ENST00000369005,.,.,11.0132677,4.93E-09,.
20,PTEN,ENST00000371953,.,.,10.77345607,8.15E-09,.
21,MAD1L1,ENST00000406869,.,.,10.63583863,1.07E-08,.
22,KIAA1429,ENST00000297591,.,.,10.53823516,1.28E-08,.
23,CCND1,ENST00000227507,.,.,10.48700823,1.38E-08,.
24,NUMA1,ENST00000393695,.,.,10.32393402,1.93E-08,.
25,SCRIB,ENST00000356994,.,.,10.24872383,2.20E-08,.
26,FLNB,ENST00000490882,.,.,10.01732074,3.62E-08,.
27,FLNA,ENST00000369850,.,.,9.892777116,4.64E-08,.
28,NUP153,ENST00000262077,.,.,9.730516749,6.51E-08,.
29,TCOF1,ENST00000504761,.,.,9.716470526,6.51E-08,.
30,ERC1,ENST00000397203,.,.,9.522590978,9.84E-08,.
31,MLLT4,ENST00000507704,.,.,9.472950518,1.07E-07,.
32,CEP170,ENST00000366542,.,.,9.354029915,1.36E-07,.
33,PCM1,ENST00000325083,.,.,9.327005432,1.41E-07,.
